"","GSM8093099_E2477-1_PrimeView_.CEL","GSM8093100_E2477-2_PrimeView_.CEL","GSM8093101_E2477-3_PrimeView_.CEL","GSM8093102_E2478-1_PrimeView_.CEL","GSM8093103_E2478-2_PrimeView_.CEL","GSM8093104_E2478-3_PrimeView_.CEL"
"ALG1L",5.16930309472641,5.37671767943985,5.15759327051044,5.07361491446269,5.17904269543251,5.19075251964848
"KLF7",8.22769763707352,8.24251945589311,8.19715211279605,9.06533845942587,9.15098757157401,9.10498711905615
"DBET /// DUX4 /// DUX4L1 /// DUX4L10 /// DUX4L11 /// DUX4L12 /// DUX4L13 /// DUX4L14 /// DUX4L15 /// DUX4L2 /// DUX4L20 /// DUX4L21 /// DUX4L22 /// DUX4L23 /// DUX4L24 /// DUX4L25 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8",8.0673941014348,8.00599162719912,8.02900308002129,7.99700696467992,7.92856456621673,8.06679588267957
"UGT2B11",3.04772933622392,2.92304541612064,3.0122554289685,2.87672498967399,2.81574699153568,2.84478236797556
"TPM2",6.92988694733922,7.06915909924493,7.04941713740163,6.35047392727506,6.55383136602094,6.57299962174912
"TPM2",6.93227169067494,7.0413228303656,7.05653798289293,6.54182397405318,6.55621610935666,6.44762181452712
"SSX1",2.86164111889115,2.817155019844,2.86037973758112,2.82279411146349,2.91617188510413,2.93421984953166
"AURKAIP1",10.9430710097653,11.0137865938494,10.9653743708606,10.4806829231819,10.6034235308973,10.5381520702461
"AURKAIP1",10.861189459803,10.9104230310665,10.8391660733112,10.3809571841528,10.4605775069321,10.4252080523582
"AURKAIP1",10.9747595856649,11.0138707808484,10.923823229639,10.4974686664232,10.5166701241484,10.5290150702921
"PGAM4",4.72543122440546,4.55193080767478,4.49161247680034,3.58440631010748,3.67324205908101,3.73312831941827
"KRT17",5.92047380323371,5.69961336059021,5.89777801992216,7.22379463411777,7.43283785846544,7.44423521721664
"ASIP",4.99395692612326,4.75430052444066,5.09143294151432,5.20199469543171,5.09031143682943,4.79749063770941
"CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8",8.50777530879708,8.49240226210807,8.480260174645,8.9337993923142,8.86516755378339,8.90606062097283
"CCKAR",4.98747617341852,4.84195223191945,4.83173291460121,4.67813556202686,4.70736378721103,4.70641293920685
"C15orf40",6.13807594085342,6.20224126568592,6.37790798243265,6.28451664772414,6.18368252311164,6.3150370584147
"C15orf40",4.42203912695078,4.4186674354466,4.35899369850784,4.58134510188194,4.44094681449331,4.44763593686585
"C15orf40",6.16242176167068,6.07791069399491,6.11732409880085,5.92271677615402,6.08465407700327,6.31694319904155
"C15orf40",6.28754210979979,6.43115677512549,6.39129823332392,6.48035306902066,6.49642148287713,6.59694101387754
"CASP14",3.77862191828609,3.64251766497351,3.77803418745246,3.45389415552766,3.66290305285514,3.44672364931878
"AGRP",5.19520827583241,5.38662294189591,5.33575828281712,5.3626378425588,5.29565909181582,5.33983671291252
