"X","GSM8093099_E2477.1_PrimeView_.CEL","GSM8093100_E2477.2_PrimeView_.CEL","GSM8093101_E2477.3_PrimeView_.CEL","GSM8093102_E2478.1_PrimeView_.CEL","GSM8093103_E2478.2_PrimeView_.CEL","GSM8093104_E2478.3_PrimeView_.CEL"
"NBR1",8.05617455722917,8.05741956675873,8.03540877159477,9.10898628050237,9.05582670061887,9.10656437929758
"NBR2",6.71743264261877,6.6778523962666,6.55646635584155,5.91125173155135,5.97878888289129,5.90859854411442
"NCALD",4.47494527094751,4.41333964122992,4.57661621925912,4.45511456145454,4.31400134708102,4.52283337118621
"NCAM1",4.97096352499117,4.93242594452828,5.09561593291615,5.12101175392666,5.01295829534819,5.01521431697704
"NCAM1-AS1",4.0451480271037,4.33505561731566,4.35451087407748,4.24473073752283,4.23703969925364,4.19597842541539
"NCAM2",3.51969074104702,3.55201217504141,3.54252395434007,3.70811898533307,3.5181064766297,3.68079913134112
"NCAN",4.97297178348641,4.98815405319499,4.94722187439157,5.05404045816551,4.90877070565084,4.96015215433223
"NCAPD2",9.49940504646925,9.50600610248274,9.42942932018074,8.43723161628317,8.42870442092236,8.41966908976737
"NCAPD3",10.1966938199542,10.1335088672852,10.0819829350364,8.80734089965452,8.87843764746391,8.892601698741
"NCAPG",8.47739144323337,8.38056424812984,8.4124986882065,8.02204022426054,8.01442181919588,8.06001597555685
"NCAPG2",6.97080561092932,7.06440777949789,7.13492805670047,6.76612916524519,6.70776803323364,6.78167879925059
"NCAPH",6.92174440781987,6.63094414220086,6.73129130251105,6.00947805038301,5.89915506974473,5.98485426461219
"NCAPH2",7.52272235788459,7.60514702990291,7.58381210934226,7.1023292817403,7.04898427850477,7.0928910017972
"NCBP1",8.93578695007479,9.00660155707697,8.97102539486358,8.7765003857492,8.82410910084636,8.82784981020252
"NCBP2",9.80336747373209,9.82467364094334,9.79575508634799,9.86020758860904,9.86077253840378,9.83464635399487
"NCBP3",7.53256682161653,7.64077340737671,7.55644379355351,8.19458942981094,8.23362938950036,8.31130780962354
"NCCRP1",5.57041309701475,5.68653034351969,5.40742576319014,5.51706957296888,5.55458237530154,5.34931181147829
