"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"JMJD6",-0.424454197019923,7.3038181346658,-8.90563794169131,3.94683044186459e-05,0.000126343867699089,1.49103642369243
"LCORL",0.482968082046933,6.66938793652497,8.90246332006362,3.95618626423181e-05,0.00012662317917264,1.48837390070939
"ANAPC10",-0.766956455648193,7.91646240792994,-8.90089251963629,3.96082477153722e-05,0.000126751441541672,1.48705619120558
"STK39",0.300711489331685,6.86237653641841,8.89647507737688,3.97390222359251e-05,0.000127149677009132,1.48334944946944
"RPUSD1",0.342641785050587,8.88646070071222,8.89368308582572,3.9821927982134e-05,0.000127394648230835,1.48100585001223
"CHAC1",-0.678727636211454,6.61538741522036,-8.89272009750535,3.98505683329507e-05,0.000127460688549005,1.48019737365135
"STYX",0.41259280341977,7.44427249387204,8.89256228415043,3.98552640951877e-05,0.000127460688549005,1.4800648745144
"PAX8",0.331344627254419,8.97651117833933,8.89111564676309,3.98983381351773e-05,0.000127577547228764,1.47885019447166
"PIK3C2B",0.498238341979464,5.82310519670794,8.89090855501321,3.99045086482322e-05,0.000127577547228764,1.47867629473082
"OAS1",0.394630554760117,4.32116098570588,8.89065426042454,3.99120870918028e-05,0.00012758146699853,1.47846275301829
"WHSC1L1",0.374837271871851,7.51446370248539,8.89028662489236,3.99230461740691e-05,0.000127596190222789,1.4781540251445
"MOB1B",-0.346457572536251,7.33208498333437,-8.8891542202883,3.99568240898726e-05,0.000127683827370088,1.47720300270242
"TNRC6C",-0.532680675970502,6.26289370184011,-8.88816698682875,3.9986298084387e-05,0.000127757685448111,1.4763738156797
"PDCD7",-0.474988442012909,7.87961292376611,-8.88750671712206,4.00060242208098e-05,0.000127800380221209,1.47581920553582
"GDE1",0.321033430449035,9.48843740953376,8.88662183283807,4.0032478136869e-05,0.000127864550079656,1.47507587046035
"GEMIN8",-0.42793792289176,6.02224074175382,-8.88421863432218,4.01044222270883e-05,0.000128073972970081,1.4730567823443
"CRELD2",0.352894972179685,7.03325254867038,8.88368635681942,4.01203766447671e-05,0.000128104553979889,1.47260951830196
"PRPF38A",-0.344546011274572,9.05942551313973,-8.88346609678254,4.01269807858552e-05,0.000128105274535545,1.47242443082808
"MLYCD",-0.352541825056242,7.31751489330671,-8.88149527612914,4.01861272811292e-05,0.000128273709522282,1.47076815218036
"PQLC1",0.354745043443322,7.78467237330764,8.87985958783706,4.02352907972825e-05,0.000128410230473959,1.46939328456674
"NSMAF",-0.286795316790046,10.3831925583824,-8.87744475557195,4.03079969815637e-05,0.000128621832122295,1.46736312360338
"SYDE2",-0.577063216952163,4.80155612793926,-8.86881430467426,4.0569058445899e-05,0.000129434308153683,1.46010367141075
"HLA-E",-0.291234516541186,10.4472180004369,-8.86856981636984,4.0576481682344e-05,0.000129437429813881,1.45989793518766
"LURAP1",0.46171908102763,5.93091659997831,8.86794614163179,4.05954248478941e-05,0.0001294772927815,1.45937309308513
"CDK16",0.370836716394834,7.73733749899988,8.86564506842575,4.06654028040087e-05,0.000129679890428026,1.45743639888478
"TBC1D12",0.623630348098201,8.60370861517164,8.86419056205794,4.07097060159781e-05,0.000129800561299397,1.45621199858711
"ZNF700",0.381505861619329,7.46544417457859,8.86140593468518,4.07946757785432e-05,0.000130050836243851,1.45386743496031
"AMZ2",0.335759838389166,10.9383772833787,8.86114455613108,4.08026617182822e-05,0.000130055651158543,1.4536473311799
"RNF166",0.562233321339003,7.54921924330731,8.85974475704399,4.0845460029424e-05,0.000130171408954451,1.45246848427037
"TMOD2",0.373717533191508,3.99640955523785,8.85775593895372,4.09063545044701e-05,0.00013034479198283,1.45079332371492
